code,num
C1072,679.5093104610156
C1128,1281.5566073945067
C1456,615.3655347429836
C1840,562.2906389285146
C1332,1147.2343999093548
C1563,1533.1789207789202
C1794,903.8856936281371
C1640,352.92596896726457
C1377,397.2899015064386
C2072,309.99585877109075
C1472,513.6919826765418
C1006,144.06520745876904
C1083,344.9348000034712
C1311,274.38833234624127
C2676,218.95163560462768
C2318,204.6912233683629
C1603,496.4617025907851
C2523,323.12201649100615
C2177,162.40115808983825
C2411,693.2280471811598
C2033,185.89213817733474
C1604,450.98742619926577
C2535,503.5383346348566
C1040,477.64480989694323
C2417,368.256037941587
C1812,130.3731030123429
C2253,91.85255263127675
C1294,394.7088006843797
C1772,342.104211444387
C2646,383.6408700430296
C1152,904.0592084857367
C2423,112.7437191673441
C1844,533.6242511085443
C1318,209.8752662821311
C1729,84.29717807827163
C1602,279.9672692702272
C1239,415.74898171701955
C1721,546.6565932898321
C1902,821.0482501237966
C1855,309.657185910133
C2600,506.01216229867623
C1071,376.9470772753624
C2295,452.26118850607406
C1621,563.534676904616
C1852,711.7560424275532
C2555,828.5115078289725
C1297,464.4823530269101
C2323,598.7446956478603
C2215,418.6186095385667
C2112,390.1671901646914
C1830,717.2669391746404
C2602,298.37504109842746
C2608,909.3915911789118
C1215,700.0985891625795
C2369,585.6177901047508
C1158,301.68930918945506
C1887,494.08723009568797
C1189,298.84761999190164
C1637,365.85188534501816
C1225,141.56387360123102
C2374,415.80021073912667
C2397,560.3366084059413
C1105,743.1793406514923
C1782,416.04750929294886
C1629,63.10049959934353
C1708,297.5448601367443
C2144,673.8649454367721
C1617,1063.3800554840107
C1149,586.1782795080851
C1323,534.6351494118647
C1064,769.9440898863143
C1019,306.06619197930354
C2269,621.9784204768393
C1416,784.3360314443947
C1250,770.07512568969
C1741,383.3997593932486
C1016,696.5128935528419
C2436,512.7870246978243
C2039,871.9930995065575
C1253,898.4522634420646
C2028,929.5633962513951
C1166,289.8382698786256
C1135,206.51255076336264
C1216,327.72458396350953
C1593,214.7105480022199
C1826,255.88728563145
C1827,443.24672187094905
C1564,268.6339467209652
C1495,1117.6036538160465
C2653,859.126666483598
C1392,503.8963319000898
C2128,332.40924615811474
C1282,637.7175468205321
C1521,1024.7924873188192
C2076,898.1294759920821
C1060,570.7762888891068
C2473,948.8861925286278
C2557,644.7115432985275
C1835,922.9385172234017
C2224,456.9491896812778
C2222,421.9449306884132
C2430,777.4229698878585
C2497,255.65765507668206
C1494,827.0483879211339
C1457,495.7123382667723
C1525,1049.4709678623622
C1712,501.5894143506252
C2267,1019.082612887892
C1623,300.7156930671065
C2131,560.4025431524898
C2691,1295.9701237545298
C1147,656.7524641246264
C1692,992.4039337543318
C1570,973.3007386961332
C1474,125.907409614083
C1633,183.96365032633807
C2113,457.7291759151956
C2175,853.0746515177916
C2303,1319.7095276915675
C2547,522.449855290335
C2292,853.3003999837265
C1496,627.0422500255182
C1289,435.91858635419084
C1849,740.7483381873233
C1003,308.86375258708955
C2268,432.8141639916197
C2551,452.6450800228294
C2688,34.81752532987417
C1030,22.15462969751827
C2451,556.0574900162867
C1749,467.1180677383032
C1349,240.50219592682902
C2043,215.1382746204783
C1229,232.10517061896488
C2363,469.03956456080715
C1414,403.54304203273324
C2174,436.6741193625474
C2091,138.05999205063276
C1841,68.88034341462189
C2404,136.4945789889697
C1683,188.07654211817555
C1038,323.27096996812656
C2456,254.30500636889576
C1266,418.95859008379756
C2152,25.925199939236677
C1267,400.4652757650909
C2189,251.80320707139674
C2675,0
C2335,0
C1327,0
